,a1,a1_std,a2,a2_std,a3,a3_std,b,b_std
django__django-15499,0.92283773,3.7035272,2.6372862,0.8130514,4.08063,1.0127693,-2.1209633,0.7213294
django__django-16136,-0.0044522155,6.657629,1.8029532,0.75511825,11.616237,2.8990145,-0.020635433,0.6961701
django__django-14608,0.38506854,6.0644355,1.6306946,0.6612005,4.2369685,1.2819997,-1.5081191,0.47970456
django__django-13279,0.6043528,12.348179,0.6659577,0.962644,7.981656,0.6809677,-2.0880804,1.0063725
sphinx-doc__sphinx-7910,0.3394953,7.93675,-1.0808727,0.5102615,7.8841434,1.2792099,-0.5069075,0.490451
django__django-16527,-0.012326333,11.069538,1.2285838,0.9441893,7.151666,1.189254,-7.3389134,1.34254
django__django-12754,0.8050758,8.593323,1.186449,0.72649777,12.909289,3.008508,1.5639786,0.9497515
django__django-11740,0.8172625,7.557121,0.7052488,0.58966416,5.6780972,1.147269,1.5419577,0.53398454
sympy__sympy-15599,0.6992306,10.894847,0.74459004,1.0516489,10.60618,2.5072913,3.3958588,1.7908356
pydata__xarray-6992,0.62652475,8.47798,1.1083629,1.1069524,5.7696815,3.6223357,6.9710383,2.6117177
psf__requests-2317,0.23590985,8.027852,0.8152928,0.53863466,4.7966332,1.4208248,-1.6353503,0.5752022
django__django-9296,0.16291209,9.993272,0.5607397,0.94263417,6.2097816,0.8351549,-7.588154,0.86350554
sympy__sympy-13852,-0.0068308534,12.924238,1.2178438,1.0579963,5.5819955,2.9144237,7.336516,1.7093635
